section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-15-before_E1_RE_SEC-08_local,1,1.0,2.0,64.0,62.8,75.8
FLT4-15-before_E1_RE_SEC-08_local,2,2.0,2.0,61.9,59.6,59.5
FLT4-15-before_E1_RE_SEC-08_local,3,3.0,2.0,61.0,59.4,59.7
FLT4-15-before_E1_RE_SEC-08_local,4,4.0,2.0,60.7,59.6,59.5
FLT4-15-before_E1_RE_SEC-08_local,5,5.0,2.0,60.4,59.3,59.0
FLT4-15-before_E1_RE_SEC-08_local,6,6.0,2.0,60.2,59.2,59.8
FLT4-15-before_E1_RE_SEC-08_local,7,7.0,2.0,60.1,59.2,58.9
FLT4-15-before_E1_RE_SEC-08_local,8,8.0,2.0,59.9,59.4,59.1
FLT4-15-before_E1_RE_SEC-08_local,9,9.0,2.0,59.9,59.2,59.3
FLT4-15-before_E1_RE_SEC-08_local,10,10.0,2.0,59.8,58.8,58.7
FLT4-15-before_E1_RE_SEC-08_local,11,11.0,2.0,59.7,53.9,58.1
