section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-3-2000strokes_E1_RE_SEC-09_local,1,1.0,2.0,66.2,65.0,75.7
FLT4-3-2000strokes_E1_RE_SEC-09_local,2,2.0,2.0,63.8,60.7,60.7
FLT4-3-2000strokes_E1_RE_SEC-09_local,3,3.0,2.0,62.5,59.9,59.7
FLT4-3-2000strokes_E1_RE_SEC-09_local,4,4.0,2.0,61.8,59.7,60.0
FLT4-3-2000strokes_E1_RE_SEC-09_local,5,5.0,2.0,61.4,59.5,59.4
FLT4-3-2000strokes_E1_RE_SEC-09_local,6,6.0,2.0,61.0,59.7,59.7
FLT4-3-2000strokes_E1_RE_SEC-09_local,7,7.0,2.0,60.9,60.5,60.6
FLT4-3-2000strokes_E1_RE_SEC-09_local,8,8.0,2.0,60.9,56.8,61.1
FLT4-3-2000strokes_E1_RE_SEC-09_local,9,9.0,2.0,60.0,41.0,40.3
FLT4-3-2000strokes_E1_RE_SEC-09_local,10,10.0,2.0,57.2,30.9,30.3
FLT4-3-2000strokes_E1_RE_SEC-09_local,11,11.0,2.0,54.8,29.6,34.1
