section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-12-50strokes_E1_RE_SEC-05_local,1,1.0,2.0,66.3,61.1,67.9
FLT4-12-50strokes_E1_RE_SEC-05_local,2,2.0,2.0,60.9,56.0,56.1
FLT4-12-50strokes_E1_RE_SEC-05_local,3,3.0,2.0,59.2,56.0,56.1
FLT4-12-50strokes_E1_RE_SEC-05_local,4,4.0,2.0,58.5,56.5,56.5
FLT4-12-50strokes_E1_RE_SEC-05_local,5,5.0,2.0,58.1,57.1,57.0
FLT4-12-50strokes_E1_RE_SEC-05_local,6,6.0,2.0,58.0,56.2,55.9
FLT4-12-50strokes_E1_RE_SEC-05_local,7,7.0,2.0,57.5,55.5,56.3
FLT4-12-50strokes_E1_RE_SEC-05_local,8,8.0,2.0,57.4,57.2,54.9
FLT4-12-50strokes_E1_RE_SEC-05_local,9,9.0,2.0,57.5,57.1,57.9
FLT4-12-50strokes_E1_RE_SEC-05_local,10,10.0,2.0,57.3,57.2,56.6
FLT4-12-50strokes_E1_RE_SEC-05_local,11,11.0,2.0,57.4,42.5,52.4
