section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-6-1000strokes_E1_RE_SEC-06_local,1,1.0,2.0,86.5,78.1,80.5
FLT4-6-1000strokes_E1_RE_SEC-06_local,2,2.0,2.0,76.5,63.8,62.9
FLT4-6-1000strokes_E1_RE_SEC-06_local,3,3.0,2.0,70.8,59.3,59.2
FLT4-6-1000strokes_E1_RE_SEC-06_local,4,4.0,2.0,67.7,58.4,58.7
FLT4-6-1000strokes_E1_RE_SEC-06_local,5,5.0,2.0,65.7,58.4,57.9
FLT4-6-1000strokes_E1_RE_SEC-06_local,6,6.0,2.0,64.5,58.3,58.4
FLT4-6-1000strokes_E1_RE_SEC-06_local,7,7.0,2.0,63.6,57.5,57.8
FLT4-6-1000strokes_E1_RE_SEC-06_local,8,8.0,2.0,62.7,57.8,57.8
FLT4-6-1000strokes_E1_RE_SEC-06_local,9,9.0,2.0,62.3,58.2,58.4
FLT4-6-1000strokes_E1_RE_SEC-06_local,10,10.0,2.0,61.8,58.9,58.6
FLT4-6-1000strokes_E1_RE_SEC-06_local,11,11.0,2.0,61.6,48.1,55.5
