section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-6-1000strokes_E1_RE_SEC-05_local,1,1.0,2.0,83.8,72.5,69.1
FLT4-6-1000strokes_E1_RE_SEC-05_local,2,2.0,2.0,71.6,59.4,59.7
FLT4-6-1000strokes_E1_RE_SEC-05_local,3,3.0,2.0,67.4,59.0,58.8
FLT4-6-1000strokes_E1_RE_SEC-05_local,4,4.0,2.0,65.2,58.4,58.6
FLT4-6-1000strokes_E1_RE_SEC-05_local,5,5.0,2.0,63.7,58.6,58.1
FLT4-6-1000strokes_E1_RE_SEC-05_local,6,6.0,2.0,63.0,58.2,58.2
FLT4-6-1000strokes_E1_RE_SEC-05_local,7,7.0,2.0,62.1,57.5,57.4
FLT4-6-1000strokes_E1_RE_SEC-05_local,8,8.0,2.0,61.6,58.0,57.8
FLT4-6-1000strokes_E1_RE_SEC-05_local,9,9.0,2.0,61.2,58.0,58.2
FLT4-6-1000strokes_E1_RE_SEC-05_local,10,10.0,2.0,60.9,59.3,58.3
FLT4-6-1000strokes_E1_RE_SEC-05_local,11,11.0,2.0,60.9,54.3,59.0
