section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-7-50strokes_E1_RE_SEC-10_local,1,1.0,2.0,80.3,72.9,73.2
FLT4-7-50strokes_E1_RE_SEC-10_local,2,2.0,2.0,71.7,59.2,60.9
FLT4-7-50strokes_E1_RE_SEC-10_local,3,3.0,2.0,65.9,51.5,52.0
FLT4-7-50strokes_E1_RE_SEC-10_local,4,4.0,2.0,61.6,64.8,66.4
FLT4-7-50strokes_E1_RE_SEC-10_local,5,5.0,2.0,65.4,80.8,83.1
FLT4-7-50strokes_E1_RE_SEC-10_local,6,6.0,2.0,67.3,89.4,86.8
FLT4-7-50strokes_E1_RE_SEC-10_local,7,7.0,2.0,71.9,83.0,87.7
FLT4-7-50strokes_E1_RE_SEC-10_local,8,8.0,2.0,71.1,65.8,65.5
FLT4-7-50strokes_E1_RE_SEC-10_local,9,9.0,2.0,70.4,57.7,63.5
FLT4-7-50strokes_E1_RE_SEC-10_local,10,10.0,2.0,68.8,27.3,31.3
FLT4-7-50strokes_E1_RE_SEC-10_local,11,11.0,2.0,63.6,8.2,7.8
FLT4-7-50strokes_E1_RE_SEC-10_local,12,12.0,2.0,59.3,3.2,1.7
