section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-7-50strokes_E1_RE_SEC-08_local,1,1.0,2.0,90.0,81.4,83.7
FLT4-7-50strokes_E1_RE_SEC-08_local,2,2.0,2.0,81.0,63.4,61.0
FLT4-7-50strokes_E1_RE_SEC-08_local,3,3.0,2.0,72.3,60.1,59.0
FLT4-7-50strokes_E1_RE_SEC-08_local,4,4.0,2.0,70.4,66.6,65.8
FLT4-7-50strokes_E1_RE_SEC-08_local,5,5.0,2.0,70.0,91.9,95.2
FLT4-7-50strokes_E1_RE_SEC-08_local,6,6.0,2.0,76.9,94.5,99.5
FLT4-7-50strokes_E1_RE_SEC-08_local,7,7.0,2.0,76.3,69.2,69.0
FLT4-7-50strokes_E1_RE_SEC-08_local,8,8.0,2.0,74.9,64.4,63.2
FLT4-7-50strokes_E1_RE_SEC-08_local,9,9.0,2.0,73.4,53.0,60.3
FLT4-7-50strokes_E1_RE_SEC-08_local,10,10.0,2.0,70.5,19.0,164.3
FLT4-7-50strokes_E1_RE_SEC-08_local,11,11.0,2.0,64.5,1.9,1.3
