section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-7-1000strokes_E1_RE_SEC-01_local,1,1.0,2.0,68.2,64.5,74.8
FLT4-7-1000strokes_E1_RE_SEC-01_local,2,2.0,2.0,64.0,59.4,59.5
FLT4-7-1000strokes_E1_RE_SEC-01_local,3,3.0,2.0,62.2,59.9,60.2
FLT4-7-1000strokes_E1_RE_SEC-01_local,4,4.0,2.0,61.9,60.3,59.9
FLT4-7-1000strokes_E1_RE_SEC-01_local,5,5.0,2.0,61.4,59.7,59.8
FLT4-7-1000strokes_E1_RE_SEC-01_local,6,6.0,2.0,61.2,59.8,59.8
FLT4-7-1000strokes_E1_RE_SEC-01_local,7,7.0,2.0,61.0,59.7,59.4
FLT4-7-1000strokes_E1_RE_SEC-01_local,8,8.0,2.0,60.8,59.0,59.1
FLT4-7-1000strokes_E1_RE_SEC-01_local,9,9.0,2.0,60.5,58.9,58.7
FLT4-7-1000strokes_E1_RE_SEC-01_local,10,10.0,2.0,60.4,59.8,60.4
FLT4-7-1000strokes_E1_RE_SEC-01_local,11,11.0,2.0,60.4,53.2,56.1
