section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-10-2000strokes_E1_RE_SEC-02_local,1,1.0,2.0,71.0,65.3,71.9
FLT4-10-2000strokes_E1_RE_SEC-02_local,2,2.0,2.0,64.7,58.0,57.6
FLT4-10-2000strokes_E1_RE_SEC-02_local,3,3.0,2.0,62.3,57.2,57.2
FLT4-10-2000strokes_E1_RE_SEC-02_local,4,4.0,2.0,60.8,57.7,58.0
FLT4-10-2000strokes_E1_RE_SEC-02_local,5,5.0,2.0,60.4,57.6,57.7
FLT4-10-2000strokes_E1_RE_SEC-02_local,6,6.0,2.0,59.8,57.0,56.9
FLT4-10-2000strokes_E1_RE_SEC-02_local,7,7.0,2.0,59.4,57.1,56.9
FLT4-10-2000strokes_E1_RE_SEC-02_local,8,8.0,2.0,59.1,56.9,56.8
FLT4-10-2000strokes_E1_RE_SEC-02_local,9,9.0,2.0,58.9,57.1,57.3
FLT4-10-2000strokes_E1_RE_SEC-02_local,10,10.0,2.0,58.7,56.9,56.7
