section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-10-2000strokes_E1_RE_SEC-10_local,1,1.0,2.0,66.8,67.9,88.4
FLT4-10-2000strokes_E1_RE_SEC-10_local,2,2.0,2.0,66.9,61.2,58.4
FLT4-10-2000strokes_E1_RE_SEC-10_local,3,3.0,2.0,63.0,56.2,56.1
FLT4-10-2000strokes_E1_RE_SEC-10_local,4,4.0,2.0,61.3,57.0,57.1
FLT4-10-2000strokes_E1_RE_SEC-10_local,5,5.0,2.0,60.5,57.2,57.2
FLT4-10-2000strokes_E1_RE_SEC-10_local,6,6.0,2.0,59.9,56.7,56.9
FLT4-10-2000strokes_E1_RE_SEC-10_local,7,7.0,2.0,59.4,57.3,56.9
FLT4-10-2000strokes_E1_RE_SEC-10_local,8,8.0,2.0,59.3,58.0,58.3
FLT4-10-2000strokes_E1_RE_SEC-10_local,9,9.0,2.0,59.1,57.7,57.4
FLT4-10-2000strokes_E1_RE_SEC-10_local,10,10.0,2.0,58.9,57.5,57.6
FLT4-10-2000strokes_E1_RE_SEC-10_local,11,11.0,2.0,58.8,57.2,57.0
