section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
LYDIT4-4-50strokes_E1_RE_SEC-06_local,1,1.0,2.0,69.5,65.6,76.8
LYDIT4-4-50strokes_E1_RE_SEC-06_local,2,2.0,2.0,64.5,59.6,60.0
LYDIT4-4-50strokes_E1_RE_SEC-06_local,3,3.0,2.0,62.8,59.8,60.2
LYDIT4-4-50strokes_E1_RE_SEC-06_local,4,4.0,2.0,62.1,59.6,59.3
LYDIT4-4-50strokes_E1_RE_SEC-06_local,5,5.0,2.0,61.5,58.9,58.2
LYDIT4-4-50strokes_E1_RE_SEC-06_local,6,6.0,2.0,61.0,59.5,59.9
LYDIT4-4-50strokes_E1_RE_SEC-06_local,7,7.0,2.0,60.9,59.2,58.5
LYDIT4-4-50strokes_E1_RE_SEC-06_local,8,8.0,2.0,60.6,57.7,57.0
LYDIT4-4-50strokes_E1_RE_SEC-06_local,9,9.0,2.0,60.2,60.1,60.1
LYDIT4-4-50strokes_E1_RE_SEC-06_local,10,10.0,2.0,60.5,60.9,60.2
LYDIT4-4-50strokes_E1_RE_SEC-06_local,11,11.0,2.0,60.3,59.9,60.2
