section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT8-1-2000strokes_E1_RE_SEC-01_local,1,1.0,2.0,62.6,54.9,66.7
FLT8-1-2000strokes_E1_RE_SEC-01_local,2,2.0,2.0,54.2,46.0,45.8
FLT8-1-2000strokes_E1_RE_SEC-01_local,3,3.0,2.0,51.3,45.7,45.5
FLT8-1-2000strokes_E1_RE_SEC-01_local,4,4.0,2.0,49.9,45.4,45.6
FLT8-1-2000strokes_E1_RE_SEC-01_local,5,5.0,2.0,49.0,45.4,45.5
FLT8-1-2000strokes_E1_RE_SEC-01_local,6,6.0,2.0,48.4,45.0,44.8
FLT8-1-2000strokes_E1_RE_SEC-01_local,7,7.0,2.0,47.8,44.7,44.3
FLT8-1-2000strokes_E1_RE_SEC-01_local,8,8.0,2.0,47.4,44.9,46.2
FLT8-1-2000strokes_E1_RE_SEC-01_local,9,9.0,2.0,47.2,46.3,45.8
FLT8-1-2000strokes_E1_RE_SEC-01_local,10,10.0,2.0,47.2,46.4,45.8
FLT8-1-2000strokes_E1_RE_SEC-01_local,11,11.0,2.0,47.0,45.0,45.2
