section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-15-50strokes_E1_RE_SEC-07_local,1,1.0,2.0,80.6,70.8,70.1
FLT4-15-50strokes_E1_RE_SEC-07_local,2,2.0,2.0,70.1,59.1,59.2
FLT4-15-50strokes_E1_RE_SEC-07_local,3,3.0,2.0,66.1,59.4,58.8
FLT4-15-50strokes_E1_RE_SEC-07_local,4,4.0,2.0,64.6,60.1,60.2
FLT4-15-50strokes_E1_RE_SEC-07_local,5,5.0,2.0,63.6,59.1,59.4
FLT4-15-50strokes_E1_RE_SEC-07_local,6,6.0,2.0,62.8,58.5,58.4
FLT4-15-50strokes_E1_RE_SEC-07_local,7,7.0,2.0,62.2,59.0,59.1
FLT4-15-50strokes_E1_RE_SEC-07_local,8,8.0,2.0,61.8,58.9,58.8
FLT4-15-50strokes_E1_RE_SEC-07_local,9,9.0,2.0,61.4,58.7,58.7
FLT4-15-50strokes_E1_RE_SEC-07_local,10,10.0,2.0,61.2,59.0,59.0
FLT4-15-50strokes_E1_RE_SEC-07_local,11,11.0,2.0,61.0,50.4,56.2
