section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT8-11-2000strokes_E1_RE_SEC-10_local,1,1.0,2.0,68.0,55.0,64.7
FLT8-11-2000strokes_E1_RE_SEC-10_local,2,2.0,2.0,54.5,42.8,42.5
FLT8-11-2000strokes_E1_RE_SEC-10_local,3,3.0,2.0,50.8,42.8,43.3
FLT8-11-2000strokes_E1_RE_SEC-10_local,4,4.0,2.0,48.5,42.3,42.2
FLT8-11-2000strokes_E1_RE_SEC-10_local,5,5.0,2.0,47.3,42.0,41.2
FLT8-11-2000strokes_E1_RE_SEC-10_local,6,6.0,2.0,46.3,41.3,41.5
FLT8-11-2000strokes_E1_RE_SEC-10_local,7,7.0,2.0,45.6,41.8,41.6
FLT8-11-2000strokes_E1_RE_SEC-10_local,8,8.0,2.0,45.2,41.9,41.9
FLT8-11-2000strokes_E1_RE_SEC-10_local,9,9.0,2.0,44.8,41.2,41.6
FLT8-11-2000strokes_E1_RE_SEC-10_local,10,10.0,2.0,44.4,41.8,42.1
FLT8-11-2000strokes_E1_RE_SEC-10_local,11,11.0,2.0,44.2,41.8,41.4
