section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT8-11-2000strokes_E1_RE_SEC-08_local,1,1.0,2.0,59.0,53.5,66.5
FLT8-11-2000strokes_E1_RE_SEC-08_local,2,2.0,2.0,53.0,46.1,46.3
FLT8-11-2000strokes_E1_RE_SEC-08_local,3,3.0,2.0,50.2,44.8,45.0
FLT8-11-2000strokes_E1_RE_SEC-08_local,4,4.0,2.0,48.8,45.3,45.2
FLT8-11-2000strokes_E1_RE_SEC-08_local,5,5.0,2.0,48.2,46.0,45.8
FLT8-11-2000strokes_E1_RE_SEC-08_local,6,6.0,2.0,47.8,45.2,45.2
FLT8-11-2000strokes_E1_RE_SEC-08_local,7,7.0,2.0,47.3,45.0,44.9
FLT8-11-2000strokes_E1_RE_SEC-08_local,8,8.0,2.0,47.1,46.0,45.9
FLT8-11-2000strokes_E1_RE_SEC-08_local,9,9.0,2.0,47.0,45.1,45.0
FLT8-11-2000strokes_E1_RE_SEC-08_local,10,10.0,2.0,46.7,44.8,44.7
FLT8-11-2000strokes_E1_RE_SEC-08_local,11,11.0,2.0,46.6,44.5,44.8
