section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
LYDIT4-7-50strokes_E1_RE_SEC-04_local,1,1.0,2.0,66.8,64.1,75.6
LYDIT4-7-50strokes_E1_RE_SEC-04_local,2,2.0,2.0,63.3,59.6,59.9
LYDIT4-7-50strokes_E1_RE_SEC-04_local,3,3.0,2.0,61.9,59.5,59.4
LYDIT4-7-50strokes_E1_RE_SEC-04_local,4,4.0,2.0,61.4,59.8,59.8
LYDIT4-7-50strokes_E1_RE_SEC-04_local,5,5.0,2.0,61.1,59.3,59.3
LYDIT4-7-50strokes_E1_RE_SEC-04_local,6,6.0,2.0,60.7,59.0,59.3
LYDIT4-7-50strokes_E1_RE_SEC-04_local,7,7.0,2.0,60.5,59.2,59.0
LYDIT4-7-50strokes_E1_RE_SEC-04_local,8,8.0,2.0,60.3,59.9,59.8
LYDIT4-7-50strokes_E1_RE_SEC-04_local,9,9.0,2.0,60.4,56.5,57.7
LYDIT4-7-50strokes_E1_RE_SEC-04_local,10,10.0,2.0,59.6,30.4,34.2
LYDIT4-7-50strokes_E1_RE_SEC-04_local,11,11.0,2.0,55.5,3.8,0.3
