section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
LYDIT5-8-2000strokes_E1_RE_SEC-09_local,1,1.0,2.0,78.1,61.9,59.4
LYDIT5-8-2000strokes_E1_RE_SEC-09_local,2,2.0,2.0,60.5,44.7,44.3
LYDIT5-8-2000strokes_E1_RE_SEC-09_local,3,3.0,2.0,54.9,44.5,44.5
LYDIT5-8-2000strokes_E1_RE_SEC-09_local,4,4.0,2.0,52.2,44.1,44.8
LYDIT5-8-2000strokes_E1_RE_SEC-09_local,5,5.0,2.0,50.5,44.2,44.4
LYDIT5-8-2000strokes_E1_RE_SEC-09_local,6,6.0,2.0,49.5,45.0,44.8
LYDIT5-8-2000strokes_E1_RE_SEC-09_local,7,7.0,2.0,48.8,45.0,44.6
LYDIT5-8-2000strokes_E1_RE_SEC-09_local,8,8.0,2.0,48.3,44.7,44.8
LYDIT5-8-2000strokes_E1_RE_SEC-09_local,9,9.0,2.0,47.9,44.4,44.4
LYDIT5-8-2000strokes_E1_RE_SEC-09_local,10,10.0,2.0,47.5,44.6,44.6
