section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
LYDIT1-2-1000strokes_E1_RE_SEC-02_local,1,1.0,2.0,59.8,48.6,65.8
LYDIT1-2-1000strokes_E1_RE_SEC-02_local,2,2.0,2.0,47.9,38.0,37.9
LYDIT1-2-1000strokes_E1_RE_SEC-02_local,3,3.0,2.0,44.3,37.5,37.4
LYDIT1-2-1000strokes_E1_RE_SEC-02_local,4,4.0,2.0,42.4,37.1,37.1
LYDIT1-2-1000strokes_E1_RE_SEC-02_local,5,5.0,2.0,41.2,37.6,37.7
LYDIT1-2-1000strokes_E1_RE_SEC-02_local,6,6.0,2.0,40.7,38.7,38.6
LYDIT1-2-1000strokes_E1_RE_SEC-02_local,7,7.0,2.0,40.5,38.2,38.1
LYDIT1-2-1000strokes_E1_RE_SEC-02_local,8,8.0,2.0,40.1,37.9,37.8
LYDIT1-2-1000strokes_E1_RE_SEC-02_local,9,9.0,2.0,39.9,39.1,39.4
LYDIT1-2-1000strokes_E1_RE_SEC-02_local,10,10.0,2.0,39.9,39.1,39.0
LYDIT1-2-1000strokes_E1_RE_SEC-02_local,11,11.0,2.0,39.7,43.4,40.6
