section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
LYDIT1-2-50strokes_E1_RE_SEC-01_local,1,1.0,2.0,76.4,56.1,58.3
LYDIT1-2-50strokes_E1_RE_SEC-01_local,2,2.0,2.0,54.8,37.0,36.7
LYDIT1-2-50strokes_E1_RE_SEC-01_local,3,3.0,2.0,48.5,36.4,36.8
LYDIT1-2-50strokes_E1_RE_SEC-01_local,4,4.0,2.0,45.3,36.7,36.7
LYDIT1-2-50strokes_E1_RE_SEC-01_local,5,5.0,2.0,43.5,37.3,37.5
LYDIT1-2-50strokes_E1_RE_SEC-01_local,6,6.0,2.0,42.5,37.5,37.6
LYDIT1-2-50strokes_E1_RE_SEC-01_local,7,7.0,2.0,41.8,37.2,37.3
LYDIT1-2-50strokes_E1_RE_SEC-01_local,8,8.0,2.0,41.1,37.4,37.1
LYDIT1-2-50strokes_E1_RE_SEC-01_local,9,9.0,2.0,40.8,38.6,38.5
LYDIT1-2-50strokes_E1_RE_SEC-01_local,10,10.0,2.0,40.6,38.4,38.5
LYDIT1-2-50strokes_E1_RE_SEC-01_local,11,11.0,2.0,40.3,43.4,43.0
