section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-14-2000strokes_E1_RE_SEC-10_local,1,1.0,2.0,88.6,75.6,77.8
FLT4-14-2000strokes_E1_RE_SEC-10_local,2,2.0,2.0,74.5,58.9,57.7
FLT4-14-2000strokes_E1_RE_SEC-10_local,3,3.0,2.0,68.4,57.4,57.2
FLT4-14-2000strokes_E1_RE_SEC-10_local,4,4.0,2.0,65.6,57.9,57.8
FLT4-14-2000strokes_E1_RE_SEC-10_local,5,5.0,2.0,64.1,57.7,57.4
FLT4-14-2000strokes_E1_RE_SEC-10_local,6,6.0,2.0,62.9,57.3,57.4
FLT4-14-2000strokes_E1_RE_SEC-10_local,7,7.0,2.0,62.1,57.2,57.3
FLT4-14-2000strokes_E1_RE_SEC-10_local,8,8.0,2.0,61.5,57.5,57.4
FLT4-14-2000strokes_E1_RE_SEC-10_local,9,9.0,2.0,61.1,57.5,57.4
FLT4-14-2000strokes_E1_RE_SEC-10_local,10,10.0,2.0,60.7,57.0,57.1
FLT4-14-2000strokes_E1_RE_SEC-10_local,11,11.0,2.0,60.3,57.6,57.1
