section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-14-50strokes_E1_RE_SEC-05_local,1,1.0,2.0,68.8,65.0,74.5
FLT4-14-50strokes_E1_RE_SEC-05_local,2,2.0,2.0,63.9,58.7,58.7
FLT4-14-50strokes_E1_RE_SEC-05_local,3,3.0,2.0,61.9,57.9,58.7
FLT4-14-50strokes_E1_RE_SEC-05_local,4,4.0,2.0,60.9,57.5,56.9
FLT4-14-50strokes_E1_RE_SEC-05_local,5,5.0,2.0,60.1,57.1,57.2
FLT4-14-50strokes_E1_RE_SEC-05_local,6,6.0,2.0,59.6,57.2,57.3
FLT4-14-50strokes_E1_RE_SEC-05_local,7,7.0,2.0,59.3,56.9,57.0
FLT4-14-50strokes_E1_RE_SEC-05_local,8,8.0,2.0,58.9,57.1,57.2
FLT4-14-50strokes_E1_RE_SEC-05_local,9,9.0,2.0,58.8,57.4,57.6
FLT4-14-50strokes_E1_RE_SEC-05_local,10,10.0,2.0,58.6,57.2,57.1
FLT4-14-50strokes_E1_RE_SEC-05_local,11,11.0,2.0,58.5,58.0,57.4
