section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-11-before_E1_RE_SEC-07_local,1,1.0,2.0,65.8,64.1,75.7
FLT4-11-before_E1_RE_SEC-07_local,2,2.0,2.0,62.9,58.8,58.7
FLT4-11-before_E1_RE_SEC-07_local,3,3.0,2.0,61.1,57.4,57.6
FLT4-11-before_E1_RE_SEC-07_local,4,4.0,2.0,60.2,57.6,57.6
FLT4-11-before_E1_RE_SEC-07_local,5,5.0,2.0,59.7,57.8,58.0
FLT4-11-before_E1_RE_SEC-07_local,6,6.0,2.0,59.4,57.9,57.4
FLT4-11-before_E1_RE_SEC-07_local,7,7.0,2.0,59.2,58.0,58.4
FLT4-11-before_E1_RE_SEC-07_local,8,8.0,2.0,59.0,57.5,57.3
FLT4-11-before_E1_RE_SEC-07_local,9,9.0,2.0,58.8,56.8,57.1
FLT4-11-before_E1_RE_SEC-07_local,10,10.0,2.0,58.6,56.8,56.5
FLT4-11-before_E1_RE_SEC-07_local,11,11.0,2.0,58.4,57.9,58.3
