section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
LYDIT1-4-2000strokes_E1_RE_SEC-02_local,1,1.0,2.0,166.4,159.0,157.8
LYDIT1-4-2000strokes_E1_RE_SEC-02_local,2,2.0,2.0,158.9,164.2,161.5
LYDIT1-4-2000strokes_E1_RE_SEC-02_local,3,3.0,2.0,164.4,140.6,140.3
LYDIT1-4-2000strokes_E1_RE_SEC-02_local,4,4.0,2.0,172.4,62.4,63.8
LYDIT1-4-2000strokes_E1_RE_SEC-02_local,5,5.0,2.0,144.4,35.2,35.3
LYDIT1-4-2000strokes_E1_RE_SEC-02_local,6,6.0,2.0,123.2,37.1,36.9
LYDIT1-4-2000strokes_E1_RE_SEC-02_local,7,7.0,2.0,108.3,40.8,40.4
LYDIT1-4-2000strokes_E1_RE_SEC-02_local,8,8.0,2.0,98.0,44.7,48.3
LYDIT1-4-2000strokes_E1_RE_SEC-02_local,9,9.0,2.0,91.0,34.8,34.1
LYDIT1-4-2000strokes_E1_RE_SEC-02_local,10,10.0,2.0,82.7,19.0,20.4
