section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-9-1000strokes_E1_RE_SEC-10_local,1,1.0,2.0,62.9,66.1,76.9
FLT4-9-1000strokes_E1_RE_SEC-10_local,2,2.0,2.0,65.8,62.7,63.7
FLT4-9-1000strokes_E1_RE_SEC-10_local,3,3.0,2.0,62.6,58.5,58.7
FLT4-9-1000strokes_E1_RE_SEC-10_local,4,4.0,2.0,62.1,59.4,58.5
FLT4-9-1000strokes_E1_RE_SEC-10_local,5,5.0,2.0,61.3,58.2,58.0
FLT4-9-1000strokes_E1_RE_SEC-10_local,6,6.0,2.0,60.8,58.5,58.9
FLT4-9-1000strokes_E1_RE_SEC-10_local,7,7.0,2.0,60.5,58.8,58.7
FLT4-9-1000strokes_E1_RE_SEC-10_local,8,8.0,2.0,60.3,58.4,58.3
FLT4-9-1000strokes_E1_RE_SEC-10_local,9,9.0,2.0,60.0,58.2,58.2
FLT4-9-1000strokes_E1_RE_SEC-10_local,10,10.0,2.0,59.8,58.1,58.2
FLT4-9-1000strokes_E1_RE_SEC-10_local,11,11.0,2.0,59.7,57.7,58.2
