section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-6-before_E1_RE_SEC-07_local,1,1.0,2.0,65.3,63.0,72.6
FLT4-6-before_E1_RE_SEC-07_local,2,2.0,2.0,62.4,59.2,58.9
FLT4-6-before_E1_RE_SEC-07_local,3,3.0,2.0,61.1,58.5,58.6
FLT4-6-before_E1_RE_SEC-07_local,4,4.0,2.0,60.4,58.7,59.0
FLT4-6-before_E1_RE_SEC-07_local,5,5.0,2.0,60.2,58.1,57.9
FLT4-6-before_E1_RE_SEC-07_local,6,6.0,2.0,59.7,57.4,57.6
FLT4-6-before_E1_RE_SEC-07_local,7,7.0,2.0,59.4,58.0,57.9
FLT4-6-before_E1_RE_SEC-07_local,8,8.0,2.0,59.2,58.0,58.3
FLT4-6-before_E1_RE_SEC-07_local,9,9.0,2.0,59.1,57.8,57.7
FLT4-6-before_E1_RE_SEC-07_local,10,10.0,2.0,58.9,58.8,58.5
FLT4-6-before_E1_RE_SEC-07_local,11,11.0,2.0,59.0,58.6,59.7
