section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
LYDIT1-2-2000strokes_E1_RE_SEC-04_local,1,1.0,2.0,116.2,83.8,85.3
LYDIT1-2-2000strokes_E1_RE_SEC-04_local,2,2.0,2.0,83.1,47.1,48.5
LYDIT1-2-2000strokes_E1_RE_SEC-04_local,3,3.0,2.0,68.5,40.5,37.7
LYDIT1-2-2000strokes_E1_RE_SEC-04_local,4,4.0,2.0,60.2,38.5,38.8
LYDIT1-2-2000strokes_E1_RE_SEC-04_local,5,5.0,2.0,55.2,38.3,38.9
LYDIT1-2-2000strokes_E1_RE_SEC-04_local,6,6.0,2.0,52.1,37.4,36.9
LYDIT1-2-2000strokes_E1_RE_SEC-04_local,7,7.0,2.0,49.7,38.0,38.2
LYDIT1-2-2000strokes_E1_RE_SEC-04_local,8,8.0,2.0,48.3,39.1,39.0
LYDIT1-2-2000strokes_E1_RE_SEC-04_local,9,9.0,2.0,47.2,39.4,38.9
LYDIT1-2-2000strokes_E1_RE_SEC-04_local,10,10.0,2.0,46.4,44.0,46.4
