section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-2-1000strokes_E1_RE_SEC-07_local,1,1.0,2.0,42.3,40.2,46.6
FLT4-2-1000strokes_E1_RE_SEC-07_local,2,2.0,2.0,39.5,37.1,37.3
FLT4-2-1000strokes_E1_RE_SEC-07_local,3,3.0,2.0,38.8,37.4,37.3
FLT4-2-1000strokes_E1_RE_SEC-07_local,4,4.0,2.0,38.4,37.4,37.2
FLT4-2-1000strokes_E1_RE_SEC-07_local,5,5.0,2.0,38.2,36.9,37.0
FLT4-2-1000strokes_E1_RE_SEC-07_local,6,6.0,2.0,37.9,37.2,37.1
FLT4-2-1000strokes_E1_RE_SEC-07_local,7,7.0,2.0,37.9,38.1,38.1
FLT4-2-1000strokes_E1_RE_SEC-07_local,8,8.0,2.0,38.0,37.6,37.8
FLT4-2-1000strokes_E1_RE_SEC-07_local,9,9.0,2.0,37.9,38.0,37.0
FLT4-2-1000strokes_E1_RE_SEC-07_local,10,10.0,2.0,38.0,40.9,41.0
FLT4-2-1000strokes_E1_RE_SEC-07_local,11,11.0,2.0,38.4,48.7,50.6
