section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-11-2000strokes_E1_RE_SEC-05_local,1,1.0,2.0,63.5,62.9,74.7
FLT4-11-2000strokes_E1_RE_SEC-05_local,2,2.0,2.0,61.2,58.8,59.0
FLT4-11-2000strokes_E1_RE_SEC-05_local,3,3.0,2.0,60.4,58.3,58.0
FLT4-11-2000strokes_E1_RE_SEC-05_local,4,4.0,2.0,59.8,57.7,57.7
FLT4-11-2000strokes_E1_RE_SEC-05_local,5,5.0,2.0,59.3,57.5,57.6
FLT4-11-2000strokes_E1_RE_SEC-05_local,6,6.0,2.0,59.0,57.5,57.5
FLT4-11-2000strokes_E1_RE_SEC-05_local,7,7.0,2.0,58.8,57.3,57.4
FLT4-11-2000strokes_E1_RE_SEC-05_local,8,8.0,2.0,58.6,57.7,57.5
FLT4-11-2000strokes_E1_RE_SEC-05_local,9,9.0,2.0,58.5,57.8,57.8
FLT4-11-2000strokes_E1_RE_SEC-05_local,10,10.0,2.0,58.4,57.9,58.0
FLT4-11-2000strokes_E1_RE_SEC-05_local,11,11.0,2.0,58.4,63.2,59.7
