section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
LYDIT4-7-1000strokes_E1_RE_SEC-04_local,1,1.0,2.0,86.8,73.0,75.3
LYDIT4-7-1000strokes_E1_RE_SEC-04_local,2,2.0,2.0,72.7,59.6,59.8
LYDIT4-7-1000strokes_E1_RE_SEC-04_local,3,3.0,2.0,68.2,60.0,59.7
LYDIT4-7-1000strokes_E1_RE_SEC-04_local,4,4.0,2.0,66.1,59.4,59.4
LYDIT4-7-1000strokes_E1_RE_SEC-04_local,5,5.0,2.0,64.7,58.9,59.4
LYDIT4-7-1000strokes_E1_RE_SEC-04_local,6,6.0,2.0,63.7,59.2,59.2
LYDIT4-7-1000strokes_E1_RE_SEC-04_local,7,7.0,2.0,63.1,59.5,59.3
LYDIT4-7-1000strokes_E1_RE_SEC-04_local,8,8.0,2.0,62.6,60.0,59.6
LYDIT4-7-1000strokes_E1_RE_SEC-04_local,9,9.0,2.0,62.4,52.4,54.9
LYDIT4-7-1000strokes_E1_RE_SEC-04_local,10,10.0,2.0,60.6,21.6,20.6
LYDIT4-7-1000strokes_E1_RE_SEC-04_local,11,11.0,2.0,55.7,0.5,0.6
